source,target,total
Qui-Gon Jinn,Nute Gunray,2
Qui-Gon Jinn,Republic Captain,4
Rebel Pilot,Qui-Gon Jinn,3
Nute Gunray,Republic Captain,1
Rebel Pilot,Nute Gunray,1
Rebel Pilot,Republic Captain,3
Yoda,Qui-Gon Jinn,6
Yoda,Obi-Wan Kenobi,39
Qui-Gon Jinn,Obi-Wan Kenobi,44
Nute Gunray,Dofine,1
Nute Gunray,Battle Droid,5
Rune,Nute Gunray,16
Qui-Gon Jinn,Battle Droid,16
Obi-Wan Kenobi,Battle Droid,50
Rune,Qui-Gon Jinn,1
Rune,Obi-Wan Kenobi,1
Obi-Wan Kenobi,Nute Gunray,6
Rune,Tey How,2
Nute Gunray,Tey How,2
Qui-Gon Jinn,Chancellor Valorum,3
Obi-Wan Kenobi,Chancellor Valorum,3
Battle Droid,Chancellor Valorum,2
Sache,Tey How,1
Sache,Queen,5
Sache,Rune,2
Sache,Padme,5
Sache,Nute Gunray,2
Sache,Eirtae,3
Sache,Yane,4
Sache,Rabe,4
Queen,Tey How,1
Padme,Tey How,1
Eirtae,Tey How,1
Yane,Tey How,1
Rabe,Tey How,1
Queen,Rune,6
Queen,Padme,31
Queen,Nute Gunray,7
Queen,Eirtae,16
Queen,Yane,4
Queen,Rabe,13
Rune,Padme,3
Rune,Eirtae,1
Rune,Yane,2
Rune,Rabe,2
Padme,Nute Gunray,4
Padme,Eirtae,14
Padme,Yane,4
Padme,Rabe,13
Nute Gunray,Eirtae,1
Nute Gunray,Yane,2
Nute Gunray,Rabe,2
Eirtae,Yane,2
Eirtae,Rabe,10
Yane,Rabe,4
Sache,Sio Bibble,4
Sache,Captain Panaka,4
Sache,Palpatine,1
Queen,Sio Bibble,8
Captain Panaka,Sio Bibble,6
Padme,Sio Bibble,7
Palpatine,Sio Bibble,4
Eirtae,Sio Bibble,4
Queen,Captain Panaka,22
Queen,Palpatine,21
Captain Panaka,Padme,16
Captain Panaka,Palpatine,11
Captain Panaka,Eirtae,15
Padme,Palpatine,17
Palpatine,Eirtae,7
Qui-Gon Jinn,Jar Jar Binks,39
Obi-Wan Kenobi,Jar Jar Binks,28
Captain Tarpals,Bespin Guards,1
Captain Tarpals,Gungan Warrior,1
Captain Tarpals,Jar Jar Binks,2
Gungan Warrior,Bespin Guards,3
Jar Jar Binks,Bespin Guards,12
Gungan Warrior,Jar Jar Binks,9
Count Dooku,Qui-Gon Jinn,1
Count Dooku,Jar Jar Binks,4
Count Dooku,Boss Nass,1
Count Dooku,Obi-Wan Kenobi,20
Boss Nass,Qui-Gon Jinn,4
Boss Nass,Jar Jar Binks,4
Boss Nass,Obi-Wan Kenobi,5
Rune,Palpatine,5
Nute Gunray,Palpatine,10
Battle Droid,Jar Jar Binks,12
Sache,Bespin Guards,3
Sache,Battle Droid,3
Sache,Padme Amidala,2
Queen,Bespin Guards,14
Battle Droid,Bespin Guards,7
Rune,Bespin Guards,3
Padme,Bespin Guards,12
Sio Bibble,Bespin Guards,6
Captain Panaka,Bespin Guards,11
Nute Gunray,Bespin Guards,7
Padme Amidala,Bespin Guards,16
Yane,Bespin Guards,3
Bespin Guards,Rabe,8
Queen,Battle Droid,10
Queen,Padme Amidala,20
Rune,Battle Droid,3
Padme,Battle Droid,6
Battle Droid,Sio Bibble,4
Captain Panaka,Battle Droid,13
Padme Amidala,Battle Droid,27
Battle Droid,Yane,3
Battle Droid,Rabe,6
Rune,Sio Bibble,2
Rune,Captain Panaka,2
Rune,Padme Amidala,2
Padme Amidala,Padme,19
Nute Gunray,Sio Bibble,3
Padme Amidala,Sio Bibble,6
Yane,Sio Bibble,3
Sio Bibble,Rabe,4
Captain Panaka,Nute Gunray,3
Captain Panaka,Padme Amidala,20
Captain Panaka,Yane,3
Captain Panaka,Rabe,11
Padme Amidala,Nute Gunray,7
Padme Amidala,Yane,2
Padme Amidala,Rabe,8
Sache,Qui-Gon Jinn,2
Sache,Obi-Wan Kenobi,2
Sache,Jar Jar Binks,2
Qui-Gon Jinn,Bespin Guards,8
Captain Panaka,Qui-Gon Jinn,17
Queen,Qui-Gon Jinn,13
Qui-Gon Jinn,Sio Bibble,4
Padme Amidala,Qui-Gon Jinn,32
Padme,Qui-Gon Jinn,9
Qui-Gon Jinn,Yane,2
Qui-Gon Jinn,Rabe,7
Obi-Wan Kenobi,Bespin Guards,14
Captain Panaka,Obi-Wan Kenobi,19
Captain Panaka,Jar Jar Binks,14
Queen,Obi-Wan Kenobi,21
Queen,Jar Jar Binks,18
Obi-Wan Kenobi,Sio Bibble,7
Padme Amidala,Obi-Wan Kenobi,43
Padme,Obi-Wan Kenobi,18
Obi-Wan Kenobi,Yane,2
Obi-Wan Kenobi,Rabe,8
Jar Jar Binks,Sio Bibble,5
Padme Amidala,Jar Jar Binks,34
Padme,Jar Jar Binks,17
Yane,Jar Jar Binks,2
Jar Jar Binks,Rabe,6
Qui-Gon Jinn,Princess Leia,3
Qui-Gon Jinn,Queen Jamillia,3
Qui-Gon Jinn,Palpatine,9
Qui-Gon Jinn,Eirtae,10
Captain Panaka,Princess Leia,4
Queen,Princess Leia,6
Obi-Wan Kenobi,Princess Leia,16
Battle Droid,Princess Leia,2
Queen Jamillia,Princess Leia,9
Jar Jar Binks,Princess Leia,4
Sio Bibble,Princess Leia,3
Padme Amidala,Princess Leia,6
Padme,Princess Leia,5
Palpatine,Princess Leia,6
Eirtae,Princess Leia,5
Captain Panaka,Queen Jamillia,4
Queen,Queen Jamillia,6
Obi-Wan Kenobi,Queen Jamillia,6
Obi-Wan Kenobi,Palpatine,42
Obi-Wan Kenobi,Eirtae,11
Battle Droid,Queen Jamillia,1
Battle Droid,Palpatine,12
Battle Droid,Eirtae,7
Jar Jar Binks,Queen Jamillia,4
Sio Bibble,Queen Jamillia,3
Padme Amidala,Queen Jamillia,5
Padme,Queen Jamillia,5
Palpatine,Queen Jamillia,5
Eirtae,Queen Jamillia,5
Palpatine,Jar Jar Binks,14
Eirtae,Jar Jar Binks,10
Padme Amidala,Palpatine,19
Padme Amidala,Eirtae,11
Sache,Republic Captain,1
Republic Captain,Bespin Guards,3
Eirtae,Bespin Guards,7
Queen,Republic Captain,3
Obi-Wan Kenobi,Republic Captain,6
Battle Droid,Republic Captain,4
Republic Captain,Sio Bibble,1
Republic Captain,Jar Jar Binks,3
Captain Panaka,Republic Captain,4
Padme,Republic Captain,2
Republic Captain,Eirtae,2
Republic Captain,Yane,1
Republic Captain,Rabe,2
Ric Olie,Captain Panaka,5
Ric Olie,Qui-Gon Jinn,4
Ric Olie,Rebel Pilot,3
Captain Panaka,Rebel Pilot,3
Ric Olie,Battle Droid,3
Ric Olie,Jar Jar Binks,1
Ric Olie,Obi-Wan Kenobi,5
Rune,Darth Maul,5
Darth Vader,Rune,1
Darth Vader,Darth Maul,2
Queen,Darth Maul,3
Darth Maul,Nute Gunray,5
Darth Maul,Palpatine,10
Darth Vader,Queen,2
Darth Vader,Nute Gunray,4
Darth Vader,Palpatine,15
R2-D2,Qui-Gon Jinn,25
Captain Panaka,R2-D2,7
R2-D2,Obi-Wan Kenobi,50
R2-D2,Battle Droid,26
Queen,R2-D2,9
R2-D2,Padme Amidala,48
R2-D2,Padme,6
R2-D2,Eirtae,7
R2-D2,Rabe,4
R2-D2,Jar Jar Binks,26
Qui-Gon Jinn,Anakin Skywalker,34
Gardulla,Qui-Gon Jinn,1
Watto,Qui-Gon Jinn,11
Qui-Gon Jinn,Luke Skywalker,6
R2-D2,Anakin Skywalker,60
Battle Droid,Anakin Skywalker,41
Gardulla,Anakin Skywalker,1
Watto,Anakin Skywalker,12
Anakin Skywalker,Jar Jar Binks,28
Anakin Skywalker,Luke Skywalker,19
Padme Amidala,Anakin Skywalker,95
R2-D2,Gardulla,1
R2-D2,Watto,6
R2-D2,Luke Skywalker,40
Gardulla,Battle Droid,1
Watto,Battle Droid,4
Battle Droid,Luke Skywalker,4
Gardulla,Watto,1
Gardulla,Jar Jar Binks,1
Gardulla,Luke Skywalker,1
Gardulla,Padme Amidala,1
Watto,Jar Jar Binks,7
Watto,Luke Skywalker,2
Padme Amidala,Watto,8
Jar Jar Binks,Luke Skywalker,5
Padme Amidala,Luke Skywalker,4
Jabba the Hutt,Qui-Gon Jinn,3
Sebulba,Qui-Gon Jinn,6
Jabba the Hutt,Anakin Skywalker,4
Sebulba,Anakin Skywalker,9
Jabba the Hutt,Jar Jar Binks,3
Sebulba,Jar Jar Binks,5
Jabba the Hutt,Sebulba,3
Jabba the Hutt,R2-D2,4
Jabba the Hutt,Padme Amidala,3
Sebulba,R2-D2,5
Sebulba,Padme Amidala,5
Padme Amidala,Jira,1
Qui-Gon Jinn,Jira,2
Anakin Skywalker,Jira,2
Shmi,Qui-Gon Jinn,14
Shmi,Anakin Skywalker,19
Shmi,Jar Jar Binks,11
Shmi,Luke Skywalker,4
R2-D2,Shmi,10
Padme Amidala,Shmi,17
C-3P0,Shmi,3
Shmi,C-3PO,3
Shmi,Battle Droid,3
C-3P0,Anakin Skywalker,17
C-3P0,C-3PO,122
C-3P0,R2-D2,59
C-3P0,Battle Droid,3
C-3P0,Padme Amidala,19
C-3PO,Anakin Skywalker,17
R2-D2,C-3PO,59
Battle Droid,C-3PO,3
Padme Amidala,C-3PO,19
Rabe,Princess Leia,4
Queen Jamillia,Rabe,4
Shmi,Watto,6
Sebulba,Watto,4
Shmi,Obi-Wan Kenobi,2
Obi-Wan Kenobi,Anakin Skywalker,97
Qui-Gon Jinn,Seek,1
Qui-Gon Jinn,Wald,2
Qui-Gon Jinn,Amee,1
Qui-Gon Jinn,Kitster,8
Seek,Anakin Skywalker,1
Anakin Skywalker,Wald,2
Amee,Anakin Skywalker,1
Anakin Skywalker,Kitster,8
R2-D2,Seek,1
R2-D2,Wald,1
R2-D2,Amee,1
R2-D2,Kitster,8
Seek,Jar Jar Binks,1
Seek,Wald,1
Padme Amidala,Seek,1
Seek,Amee,1
Seek,Kitster,1
Wald,Jar Jar Binks,1
Amee,Jar Jar Binks,1
Kitster,Jar Jar Binks,7
Padme Amidala,Wald,1
Amee,Wald,1
Kitster,Wald,2
Padme Amidala,Amee,1
Padme Amidala,Kitster,7
Amee,Kitster,1
Yoda,Anakin Skywalker,18
Yoda,Luke Skywalker,11
Obi-Wan Kenobi,Luke Skywalker,41
Yoda,Shmi,1
Darth Maul,Battle Droid,5
Watto,Kitster,4
C-3P0,Qui-Gon Jinn,1
Qui-Gon Jinn,C-3PO,1
Sebulba,Shmi,4
Sebulba,C-3P0,1
Sebulba,C-3PO,1
Sebulba,Kitster,4
Shmi,Kitster,6
C-3P0,Watto,1
C-3P0,Jar Jar Binks,2
C-3P0,Kitster,2
Watto,C-3PO,1
C-3PO,Jar Jar Binks,2
C-3PO,Kitster,2
Darth Maul,Obi-Wan Kenobi,6
Fode/Beed,Anakin Skywalker,6
Boles Roor,Anakin Skywalker,1
Anakin Skywalker,Gasgano,2
Sebulba,Fode/Beed,5
Boles Roor,Fode/Beed,1
Fode/Beed,Gasgano,2
Sebulba,Boles Roor,1
Sebulba,Gasgano,2
Boles Roor,Gasgano,1
Jabba the Hutt,Fode/Beed,1
Ody Mandrell,Qui-Gon Jinn,2
Ody Mandrell,Anakin Skywalker,3
Sebulba,Ody Mandrell,3
Ody Mandrell,R2-D2,2
Ody Mandrell,Shmi,2
Ody Mandrell,Jar Jar Binks,2
Jabba the Hutt,Ody Mandrell,1
Ody Mandrell,Padme Amidala,2
Ody Mandrell,Kitster,2
Jabba the Hutt,Shmi,3
Jabba the Hutt,Kitster,2
Fode/Beed,Jar Jar Binks,4
Qui-Gon Jinn,Fode/Beed,3
Fode/Beed,Luke Skywalker,3
Padme Amidala,Fode/Beed,3
Shmi,Fode/Beed,3
Mawhonic,Anakin Skywalker,1
Anakin Skywalker,Tusken Raider,2
Mawhonic,Fode/Beed,1
Fode/Beed,Tusken Raider,1
Sebulba,Mawhonic,1
Sebulba,Tusken Raider,1
Mawhonic,Tusken Raider,1
Mawhonic,Gasgano,1
Tusken Raider,Gasgano,1
Qui-Gon Jinn,Fanta,2
R2-D2,Fanta,2
Shmi,Fanta,2
Fanta,Jar Jar Binks,2
Jabba the Hutt,Fanta,1
Padme Amidala,Fanta,2
Fanta,Kitster,2
Sebulba,Xelbree,1
Ody Mandrell,Xelbree,1
Xelbree,Anakin Skywalker,1
Qui-Gon Jinn,Ben Quadrinaros,1
Fanta,Anakin Skywalker,1
Anakin Skywalker,Ben Quadrinaros,2
Sebulba,Fanta,1
Sebulba,Ben Quadrinaros,1
R2-D2,Fode/Beed,2
R2-D2,Ben Quadrinaros,13
Shmi,Ben Quadrinaros,1
Watto,Fanta,1
Fode/Beed,Fanta,1
Fanta,Ben Quadrinaros,1
Watto,Fode/Beed,2
Watto,Ben Quadrinaros,1
Fode/Beed,Ben Quadrinaros,1
Fode/Beed,Kitster,2
Ben Quadrinaros,Jar Jar Binks,1
Padme Amidala,Ben Quadrinaros,1
Kitster,Ben Quadrinaros,1
Ody Mandrell,Battle Droid,1
Terter,Ody Mandrell,1
Ody Mandrell,Watto,1
Ody Mandrell,Fode/Beed,1
Ody Mandrell,Luke Skywalker,1
Terter,Qui-Gon Jinn,1
Terter,Anakin Skywalker,1
Sebulba,Battle Droid,1
Terter,Sebulba,1
Sebulba,Luke Skywalker,1
Terter,R2-D2,1
Terter,Battle Droid,1
Battle Droid,Fode/Beed,1
Battle Droid,Kitster,1
Terter,Shmi,1
Terter,Watto,1
Terter,Fode/Beed,1
Terter,Jar Jar Binks,1
Terter,Luke Skywalker,1
Terter,Padme Amidala,1
Terter,Kitster,1
Kitster,Luke Skywalker,1
Darth Maul,Anakin Skywalker,4
Qui-Gon Jinn,Sith Probe Droid,3
Watto,Sith Probe Droid,1
Battle Droid,Sith Probe Droid,6
R2-D2,Sith Probe Droid,2
Obi-Wan Kenobi,Sith Probe Droid,3
Padme Amidala,Sith Probe Droid,2
Qui-Gon Jinn,Greedo,1
Greedo,Anakin Skywalker,1
Greedo,Wald,1
Greedo,Kitster,1
Darth Maul,Qui-Gon Jinn,8
Darth Maul,Jira,1
Darth Maul,Sith Probe Droid,1
Palpatine,Anakin Skywalker,52
Anakin Skywalker,Sith Probe Droid,1
Battle Droid,Jira,1
Palpatine,Jira,1
Sith Probe Droid,Jira,1
Palpatine,Sith Probe Droid,1
Captain Panaka,Anakin Skywalker,12
Padme Amidala,Republic Captain,3
Republic Captain,Anakin Skywalker,7
Ric Olie,Anakin Skywalker,6
Ric Olie,Padme Amidala,1
Rebel Pilot,Anakin Skywalker,9
Rebel Pilot,Obi-Wan Kenobi,8
Padme Amidala,Rebel Pilot,4
Ric Olie,Watto,1
Watto,Obi-Wan Kenobi,1
Anakin Skywalker,Sio Bibble,4
R2-D2,Sio Bibble,2
Anakin Skywalker,Bespin Guards,19
Anakin Skywalker,Princess Leia,11
Queen,Anakin Skywalker,16
Anakin Skywalker,Queen Jamillia,6
Anakin Skywalker,Chancellor Valorum,2
Padme,Anakin Skywalker,12
Eirtae,Anakin Skywalker,9
Anakin Skywalker,Rabe,6
Bespin Guards,Princess Leia,5
Queen Jamillia,Bespin Guards,4
Chancellor Valorum,Bespin Guards,1
Palpatine,Bespin Guards,11
Chancellor Valorum,Princess Leia,1
Captain Panaka,Chancellor Valorum,3
Queen,Chancellor Valorum,4
Chancellor Valorum,Queen Jamillia,1
Chancellor Valorum,Jar Jar Binks,2
Padme Amidala,Chancellor Valorum,1
Padme,Chancellor Valorum,3
Palpatine,Chancellor Valorum,3
Eirtae,Chancellor Valorum,2
Chancellor Valorum,Rabe,2
Palpatine,Rabe,5
Yoda,Mace Windu,19
Qui-Gon Jinn,Mace Windu,3
Obi-Wan Kenobi,Mace Windu,17
Queen,Aks Moe,1
Queen,Mas Amedda,5
Queen,Bail Organa,5
Queen,Lott Dod,1
Aks Moe,Battle Droid,1
Aks Moe,Mas Amedda,1
Aks Moe,Chancellor Valorum,1
Aks Moe,Bail Organa,1
Captain Panaka,Aks Moe,1
Aks Moe,Padme,1
Aks Moe,Palpatine,1
Aks Moe,Lott Dod,1
Aks Moe,Rabe,1
Battle Droid,Mas Amedda,1
Battle Droid,Bail Organa,3
Battle Droid,Lott Dod,1
Chancellor Valorum,Mas Amedda,1
Mas Amedda,Bail Organa,5
Captain Panaka,Mas Amedda,1
Padme,Mas Amedda,5
Palpatine,Mas Amedda,11
Lott Dod,Mas Amedda,1
Mas Amedda,Rabe,1
Chancellor Valorum,Bail Organa,2
Chancellor Valorum,Lott Dod,1
Captain Panaka,Bail Organa,2
Padme,Bail Organa,4
Palpatine,Bail Organa,12
Lott Dod,Bail Organa,1
Rabe,Bail Organa,1
Captain Panaka,Lott Dod,1
Padme,Lott Dod,1
Palpatine,Lott Dod,1
Lott Dod,Rabe,1
Mace Windu,Anakin Skywalker,16
Jar Jar Binks,Bail Organa,6
Eirtae,Bail Organa,1
Mace Windu,Chancellor Valorum,1
Queen,Mace Windu,5
Yoda,Chancellor Valorum,1
Yoda,Queen,6
Stormtrooper,Qui-Gon Jinn,5
Stormtrooper,Anakin Skywalker,9
Stormtrooper,Bespin Guards,6
Stormtrooper,Captain Panaka,8
Stormtrooper,R2-D2,5
Stormtrooper,Obi-Wan Kenobi,12
Stormtrooper,Queen,7
Stormtrooper,Jar Jar Binks,5
Stormtrooper,Padme Amidala,11
Stormtrooper,Padme,3
Stormtrooper,Palpatine,6
Stormtrooper,Eirtae,6
R2-D2,Bespin Guards,8
R2-D2,Palpatine,11
Stormtrooper,Luke Skywalker,2
R2-D2,Republic Captain,4
Stormtrooper,Captain Tarpals,1
Stormtrooper,Republic Captain,2
Captain Tarpals,Republic Captain,1
Stormtrooper,Gungan Warrior,1
Stormtrooper,Boss Nass,1
Stormtrooper,Rabe,2
Gungan Warrior,Qui-Gon Jinn,1
Gungan Warrior,Anakin Skywalker,2
Boss Nass,Anakin Skywalker,4
Boss Nass,Bespin Guards,3
Gungan Warrior,Captain Panaka,2
Captain Panaka,Boss Nass,3
Gungan Warrior,R2-D2,2
R2-D2,Boss Nass,3
Gungan Warrior,Obi-Wan Kenobi,2
Queen,Gungan Warrior,2
Queen,Boss Nass,4
Gungan Warrior,Boss Nass,2
Gungan Warrior,Padme Amidala,2
Gungan Warrior,Padme,2
Gungan Warrior,Eirtae,1
Gungan Warrior,Rabe,1
Boss Nass,Padme Amidala,2
Boss Nass,Padme,2
Boss Nass,Eirtae,2
Boss Nass,Rabe,1
Rebel Pilot,Bespin Guards,3
R2-D2,Princess Leia,18
Rebel Pilot,Princess Leia,2
Boss Nass,Princess Leia,1
R2-D2,Queen Jamillia,1
R2-D2,Rebel Pilot,7
Queen,Rebel Pilot,2
Rebel Pilot,Queen Jamillia,1
Boss Nass,Queen Jamillia,1
Boss Nass,Rebel Pilot,1
Rebel Pilot,Jar Jar Binks,2
Rebel Pilot,Eirtae,2
Stormtrooper,Battle Droid,10
Gungan Warrior,Battle Droid,6
Stormtrooper,Rebel Pilot,1
Rebel Pilot,Battle Droid,4
Destroyer Droids,Stormtrooper,1
Stormtrooper,Darth Maul,1
Destroyer Droids,Qui-Gon Jinn,1
Destroyer Droids,Anakin Skywalker,3
Destroyer Droids,Captain Panaka,3
Captain Panaka,Darth Maul,1
Destroyer Droids,R2-D2,2
R2-D2,Darth Maul,1
Destroyer Droids,Battle Droid,7
Destroyer Droids,Obi-Wan Kenobi,2
Destroyer Droids,Republic Captain,1
Darth Maul,Republic Captain,1
Palpatine,Republic Captain,3
Destroyer Droids,Queen,1
Destroyer Droids,Darth Maul,1
Destroyer Droids,Padme Amidala,3
Destroyer Droids,Palpatine,2
Darth Maul,Padme Amidala,1
Ric Olie,Bravo Two,4
Bravo Two,Battle Droid,2
Destroyer Droids,Gungan Warrior,3
Destroyer Droids,Jar Jar Binks,3
Ric Olie,R2-D2,2
Bravo Two,Anakin Skywalker,2
Bravo Two,R2-D2,2
Stormtrooper,Rune,1
Stormtrooper,Nute Gunray,2
Darth Vader,Qui-Gon Jinn,1
Darth Vader,Obi-Wan Kenobi,12
Dofine,Tey How,1
Ric Olie,Bravo Three,2
Bravo Two,Bravo Three,2
Bravo Three,Anakin Skywalker,1
R2-D2,Bravo Three,1
Stormtrooper,Rune Haako,1
Yoda,Stormtrooper,2
Bespin Guards,Rune Haako,2
Yoda,Rune Haako,1
Captain Panaka,Rune Haako,1
Queen,Rune Haako,1
Obi-Wan Kenobi,Rune Haako,2
Padme,Rune Haako,1
Padme Amidala,Rune Haako,1
Nute Gunray,Rune Haako,4
Palpatine,Rune Haako,2
Yoda,Bespin Guards,4
Yoda,Captain Panaka,2
Yoda,Padme,4
Yoda,Padme Amidala,7
Yoda,Nute Gunray,1
Yoda,Palpatine,14
Captain Panaka,Mace Windu,1
Mace Windu,Sio Bibble,1
Boss Nass,Mace Windu,1
Palpatine,Mace Windu,7
Yoda,Sio Bibble,1
Yoda,Boss Nass,1
Boss Nass,Sio Bibble,2
Boss Nass,Palpatine,2
Gungan Warrior,Sio Bibble,1
Gungan Warrior,Palpatine,1
Count Dooku,Queen,4
Count Dooku,Padme,4
Dorme,Bespin Guards,3
