source,target,total
Chewbacca,Logray,1
Chewbacca,Red Three,1
Chewbacca,Bespin Guards,1
Chewbacca,Rebel Trooper,1
Chewbacca,Wicket,1
Chewbacca,Moff Jerjerrod,1
Chewbacca,Wedge Antilles,1
Chewbacca,Paploo,1
Chief Chirpa,Rebel Pilot,1
Chief Chirpa,Admiral Piett,1
Chief Chirpa,Luke Skywalker,1
Chief Chirpa,Anakin Skywalker,1
Chief Chirpa,Lando Calrissian,1
Chief Chirpa,General Madine,1
Chief Chirpa,Darth Vader,1
Chief Chirpa,R2-D2,1
Chief Chirpa,Obi-Wan Kenobi,1
Chief Chirpa,Admiral Ackbar,1
Chief Chirpa,Mon Mothma,1
Chief Chirpa,C-3PO,1
Chief Chirpa,Ben Quadrinaros,1
Chief Chirpa,Flight Controller,1
Chief Chirpa,Teebo,1
Chief Chirpa,Palpatine,1
Chief Chirpa,Walker Pilot,1
Chief Chirpa,Red Leader,1
Chief Chirpa,Salacious Crumb,1
Chief Chirpa,EV-9D9,1
Chief Chirpa,Biggs Darklighter,1
Chief Chirpa,Republic Captain,1
Chief Chirpa,Nien Nunb,1
Chief Chirpa,C-3P0,1
Chief Chirpa,Bail Organa,1
Chief Chirpa,Jabba the Hutt,1
Chief Chirpa,Shuttle Captain,1
Chief Chirpa,Ewoks,1
Chief Chirpa,Logray,1
Chief Chirpa,Red Three,1
Chief Chirpa,Bespin Guards,1
Chief Chirpa,Han Solo,1
Chief Chirpa,Rebel Trooper,1
Chief Chirpa,Wicket,1
Chief Chirpa,Moff Jerjerrod,1
Chief Chirpa,Wedge Antilles,1
Chief Chirpa,Paploo,1
Rebel Pilot,Admiral Piett,1
Rebel Pilot,Luke Skywalker,1
Rebel Pilot,Lando Calrissian,1
Rebel Pilot,General Madine,1
Darth Vader,Rebel Pilot,1
Admiral Ackbar,Rebel Pilot,1
Mon Mothma,Rebel Pilot,1
Rebel Pilot,C-3PO,1
Rebel Pilot,Ben Quadrinaros,1
Rebel Pilot,Flight Controller,1
Teebo,Rebel Pilot,1
Rebel Pilot,Walker Pilot,1
Red Leader,Rebel Pilot,1
Salacious Crumb,Rebel Pilot,1
EV-9D9,Rebel Pilot,1
Biggs Darklighter,Rebel Pilot,1
Nien Nunb,Rebel Pilot,1
C-3P0,Rebel Pilot,1
Jabba the Hutt,Rebel Pilot,1
Shuttle Captain,Rebel Pilot,1
Rebel Pilot,Ewoks,1
Rebel Pilot,Logray,1
Rebel Pilot,Red Three,1
Rebel Pilot,Han Solo,1
Rebel Pilot,Rebel Trooper,1
Rebel Pilot,Wicket,1
Rebel Pilot,Moff Jerjerrod,1
Rebel Pilot,Wedge Antilles,1
Paploo,Rebel Pilot,1
Admiral Piett,Luke Skywalker,1
Admiral Piett,Anakin Skywalker,1
Admiral Piett,Lando Calrissian,1
General Madine,Admiral Piett,1
R2-D2,Admiral Piett,1
Obi-Wan Kenobi,Admiral Piett,1
Admiral Ackbar,Admiral Piett,1
Mon Mothma,Admiral Piett,1
C-3PO,Admiral Piett,1
Admiral Piett,Ben Quadrinaros,1
Teebo,Admiral Piett,1
Palpatine,Admiral Piett,1
Walker Pilot,Admiral Piett,1
Red Leader,Admiral Piett,1
Salacious Crumb,Admiral Piett,1
EV-9D9,Admiral Piett,1
Biggs Darklighter,Admiral Piett,1
Nien Nunb,Admiral Piett,1
C-3P0,Admiral Piett,1
Admiral Piett,Bail Organa,1
Jabba the Hutt,Admiral Piett,1
Shuttle Captain,Admiral Piett,1
Admiral Piett,Ewoks,1
Logray,Admiral Piett,1
Red Three,Admiral Piett,1
Admiral Piett,Bespin Guards,1
Han Solo,Admiral Piett,1
Admiral Piett,Rebel Trooper,1
Admiral Piett,Wicket,1
Admiral Piett,Moff Jerjerrod,1
Wedge Antilles,Admiral Piett,1
Paploo,Admiral Piett,1
General Madine,Luke Skywalker,1
Admiral Ackbar,Luke Skywalker,1
Mon Mothma,Luke Skywalker,1
Teebo,Luke Skywalker,1
Walker Pilot,Luke Skywalker,1
Salacious Crumb,Luke Skywalker,1
EV-9D9,Luke Skywalker,1
Republic Captain,Luke Skywalker,1
Nien Nunb,Luke Skywalker,1
Luke Skywalker,Bail Organa,1
Jabba the Hutt,Luke Skywalker,1
Shuttle Captain,Luke Skywalker,1
Ewoks,Luke Skywalker,1
Logray,Luke Skywalker,1
Red Three,Luke Skywalker,1
Bespin Guards,Luke Skywalker,1
Rebel Trooper,Luke Skywalker,1
Wicket,Luke Skywalker,1
Luke Skywalker,Moff Jerjerrod,1
Paploo,Luke Skywalker,1
General Madine,Anakin Skywalker,1
Admiral Ackbar,Anakin Skywalker,1
Mon Mothma,Anakin Skywalker,1
Anakin Skywalker,Flight Controller,1
Teebo,Anakin Skywalker,1
Walker Pilot,Anakin Skywalker,1
Salacious Crumb,Anakin Skywalker,1
EV-9D9,Anakin Skywalker,1
Biggs Darklighter,Anakin Skywalker,1
Nien Nunb,Anakin Skywalker,1
Shuttle Captain,Anakin Skywalker,1
Anakin Skywalker,Ewoks,1
Logray,Anakin Skywalker,1
Red Three,Anakin Skywalker,1
Anakin Skywalker,Rebel Trooper,1
Anakin Skywalker,Wicket,1
Anakin Skywalker,Moff Jerjerrod,1
Paploo,Anakin Skywalker,1
General Madine,Lando Calrissian,1
Obi-Wan Kenobi,Lando Calrissian,1
Admiral Ackbar,Lando Calrissian,1
Mon Mothma,Lando Calrissian,1
Lando Calrissian,Ben Quadrinaros,1
Lando Calrissian,Flight Controller,1
Teebo,Lando Calrissian,1
Palpatine,Lando Calrissian,1
Walker Pilot,Lando Calrissian,1
Salacious Crumb,Lando Calrissian,1
EV-9D9,Lando Calrissian,1
Republic Captain,Lando Calrissian,1
Nien Nunb,Lando Calrissian,1
Lando Calrissian,Bail Organa,1
Jabba the Hutt,Lando Calrissian,1
Shuttle Captain,Lando Calrissian,1
Lando Calrissian,Ewoks,1
Logray,Lando Calrissian,1
Red Three,Lando Calrissian,1
Lando Calrissian,Bespin Guards,1
Lando Calrissian,Rebel Trooper,1
Lando Calrissian,Wicket,1
Lando Calrissian,Moff Jerjerrod,1
Paploo,Lando Calrissian,1
Darth Vader,General Madine,1
R2-D2,General Madine,1
Obi-Wan Kenobi,General Madine,1
Admiral Ackbar,General Madine,1
Mon Mothma,General Madine,1
C-3PO,General Madine,1
General Madine,Ben Quadrinaros,1
General Madine,Flight Controller,1
Teebo,General Madine,1
Palpatine,General Madine,1
Walker Pilot,General Madine,1
Red Leader,General Madine,1
Salacious Crumb,General Madine,1
EV-9D9,General Madine,1
Biggs Darklighter,General Madine,1
Republic Captain,General Madine,1
Nien Nunb,General Madine,1
C-3P0,General Madine,1
General Madine,Bail Organa,1
Jabba the Hutt,General Madine,1
Shuttle Captain,General Madine,1
General Madine,Ewoks,1
Logray,General Madine,1
Red Three,General Madine,1
General Madine,Bespin Guards,1
Han Solo,General Madine,1
General Madine,Rebel Trooper,1
General Madine,Wicket,1
General Madine,Moff Jerjerrod,1
Wedge Antilles,General Madine,1
Paploo,General Madine,1
Darth Vader,Admiral Ackbar,1
Darth Vader,Mon Mothma,1
Darth Vader,Teebo,1
Darth Vader,Walker Pilot,1
Darth Vader,Salacious Crumb,1
Darth Vader,EV-9D9,1
Darth Vader,Nien Nunb,1
Darth Vader,Jabba the Hutt,1
Darth Vader,Shuttle Captain,1
Darth Vader,Ewoks,1
Darth Vader,Logray,1
Darth Vader,Red Three,1
Darth Vader,Bespin Guards,1
Darth Vader,Wicket,1
Darth Vader,Moff Jerjerrod,1
Darth Vader,Paploo,1
Admiral Ackbar,R2-D2,1
Mon Mothma,R2-D2,1
R2-D2,Flight Controller,1
R2-D2,Teebo,1
R2-D2,Walker Pilot,1
Salacious Crumb,R2-D2,1
EV-9D9,R2-D2,1
Nien Nunb,R2-D2,1
Shuttle Captain,R2-D2,1
R2-D2,Ewoks,1
R2-D2,Logray,1
R2-D2,Red Three,1
R2-D2,Rebel Trooper,1
R2-D2,Wicket,1
R2-D2,Moff Jerjerrod,1
R2-D2,Paploo,1
Admiral Ackbar,Obi-Wan Kenobi,1
Mon Mothma,Obi-Wan Kenobi,1
Obi-Wan Kenobi,Flight Controller,1
Teebo,Obi-Wan Kenobi,1
Obi-Wan Kenobi,Walker Pilot,1
Salacious Crumb,Obi-Wan Kenobi,1
EV-9D9,Obi-Wan Kenobi,1
Nien Nunb,Obi-Wan Kenobi,1
Jabba the Hutt,Obi-Wan Kenobi,1
Shuttle Captain,Obi-Wan Kenobi,1
Obi-Wan Kenobi,Ewoks,1
Obi-Wan Kenobi,Logray,1
Obi-Wan Kenobi,Red Three,1
Obi-Wan Kenobi,Rebel Trooper,1
Obi-Wan Kenobi,Wicket,1
Obi-Wan Kenobi,Moff Jerjerrod,1
Paploo,Obi-Wan Kenobi,1
Mon Mothma,Admiral Ackbar,1
Admiral Ackbar,C-3PO,1
Admiral Ackbar,Ben Quadrinaros,1
Admiral Ackbar,Flight Controller,1
Admiral Ackbar,Teebo,1
Admiral Ackbar,Palpatine,1
Admiral Ackbar,Walker Pilot,1
Red Leader,Admiral Ackbar,1
Salacious Crumb,Admiral Ackbar,1
EV-9D9,Admiral Ackbar,1
Admiral Ackbar,Biggs Darklighter,1
Admiral Ackbar,Republic Captain,1
Nien Nunb,Admiral Ackbar,1
C-3P0,Admiral Ackbar,1
Admiral Ackbar,Bail Organa,1
Jabba the Hutt,Admiral Ackbar,1
Shuttle Captain,Admiral Ackbar,1
Admiral Ackbar,Ewoks,1
Admiral Ackbar,Logray,1
Admiral Ackbar,Red Three,1
Admiral Ackbar,Bespin Guards,1
Admiral Ackbar,Han Solo,1
Admiral Ackbar,Rebel Trooper,1
Admiral Ackbar,Wicket,1
Admiral Ackbar,Moff Jerjerrod,1
Admiral Ackbar,Wedge Antilles,1
Admiral Ackbar,Paploo,1
Mon Mothma,C-3PO,1
Mon Mothma,Ben Quadrinaros,1
Mon Mothma,Flight Controller,1
Mon Mothma,Teebo,1
Mon Mothma,Walker Pilot,1
Red Leader,Mon Mothma,1
Salacious Crumb,Mon Mothma,1
EV-9D9,Mon Mothma,1
Mon Mothma,Biggs Darklighter,1
Mon Mothma,Republic Captain,1
Nien Nunb,Mon Mothma,1
Mon Mothma,C-3P0,1
Jabba the Hutt,Mon Mothma,1
Mon Mothma,Shuttle Captain,1
Mon Mothma,Ewoks,1
Mon Mothma,Logray,1
Mon Mothma,Red Three,1
Mon Mothma,Bespin Guards,1
Mon Mothma,Han Solo,1
Mon Mothma,Rebel Trooper,1
Mon Mothma,Wicket,1
Mon Mothma,Moff Jerjerrod,1
Mon Mothma,Wedge Antilles,1
Mon Mothma,Paploo,1
Teebo,C-3PO,1
Walker Pilot,C-3PO,1
Salacious Crumb,C-3PO,1
EV-9D9,C-3PO,1
Republic Captain,C-3PO,1
Nien Nunb,C-3PO,1
Jabba the Hutt,C-3PO,1
Shuttle Captain,C-3PO,1
C-3PO,Ewoks,1
Logray,C-3PO,1
Red Three,C-3PO,1
C-3PO,Bespin Guards,1
C-3PO,Rebel Trooper,1
C-3PO,Wicket,1
C-3PO,Moff Jerjerrod,1
Paploo,C-3PO,1
Ben Quadrinaros,Flight Controller,1
Teebo,Ben Quadrinaros,1
Palpatine,Ben Quadrinaros,1
Walker Pilot,Ben Quadrinaros,1
Red Leader,Ben Quadrinaros,1
Salacious Crumb,Ben Quadrinaros,1
EV-9D9,Ben Quadrinaros,1
Republic Captain,Ben Quadrinaros,1
Nien Nunb,Ben Quadrinaros,1
Ben Quadrinaros,Bail Organa,1
Jabba the Hutt,Ben Quadrinaros,1
Shuttle Captain,Ben Quadrinaros,1
Ewoks,Ben Quadrinaros,1
Logray,Ben Quadrinaros,1
Red Three,Ben Quadrinaros,1
Bespin Guards,Ben Quadrinaros,1
Rebel Trooper,Ben Quadrinaros,1
Wicket,Ben Quadrinaros,1
Ben Quadrinaros,Moff Jerjerrod,1
Wedge Antilles,Ben Quadrinaros,1
Paploo,Ben Quadrinaros,1
Teebo,Flight Controller,1
Palpatine,Flight Controller,1
Walker Pilot,Flight Controller,1
Red Leader,Flight Controller,1
Salacious Crumb,Flight Controller,1
EV-9D9,Flight Controller,1
Biggs Darklighter,Flight Controller,1
Nien Nunb,Flight Controller,1
Bail Organa,Flight Controller,1
Jabba the Hutt,Flight Controller,1
Shuttle Captain,Flight Controller,1
Ewoks,Flight Controller,1
Logray,Flight Controller,1
Red Three,Flight Controller,1
Bespin Guards,Flight Controller,1
Rebel Trooper,Flight Controller,1
Wicket,Flight Controller,1
Moff Jerjerrod,Flight Controller,1
Wedge Antilles,Flight Controller,1
Paploo,Flight Controller,1
Teebo,Palpatine,1
Teebo,Walker Pilot,1
Red Leader,Teebo,1
Salacious Crumb,Teebo,1
EV-9D9,Teebo,1
Teebo,Biggs Darklighter,1
Teebo,Republic Captain,1
Nien Nunb,Teebo,1
C-3P0,Teebo,1
Teebo,Bail Organa,1
Jabba the Hutt,Teebo,1
Shuttle Captain,Teebo,1
Teebo,Ewoks,1
Teebo,Logray,1
Teebo,Red Three,1
Teebo,Bespin Guards,1
Teebo,Han Solo,1
Teebo,Rebel Trooper,1
Teebo,Wicket,1
Teebo,Moff Jerjerrod,1
Teebo,Wedge Antilles,1
Teebo,Paploo,1
Palpatine,Walker Pilot,1
Red Leader,Palpatine,1
Salacious Crumb,Palpatine,1
EV-9D9,Palpatine,1
Biggs Darklighter,Palpatine,1
Nien Nunb,Palpatine,1
Jabba the Hutt,Palpatine,1
Shuttle Captain,Palpatine,1
Palpatine,Ewoks,1
Logray,Palpatine,1
Palpatine,Red Three,1
Palpatine,Han Solo,1
Palpatine,Rebel Trooper,1
Palpatine,Wicket,1
Palpatine,Moff Jerjerrod,1
Wedge Antilles,Palpatine,1
Paploo,Palpatine,1
Red Leader,Walker Pilot,1
Salacious Crumb,Walker Pilot,1
EV-9D9,Walker Pilot,1
Biggs Darklighter,Walker Pilot,1
Republic Captain,Walker Pilot,1
Nien Nunb,Walker Pilot,1
C-3P0,Walker Pilot,1
Walker Pilot,Bail Organa,1
Jabba the Hutt,Walker Pilot,1
Shuttle Captain,Walker Pilot,1
Walker Pilot,Ewoks,1
Logray,Walker Pilot,1
Red Three,Walker Pilot,1
Walker Pilot,Bespin Guards,1
Han Solo,Walker Pilot,1
Walker Pilot,Rebel Trooper,1
Walker Pilot,Wicket,1
Walker Pilot,Moff Jerjerrod,1
Wedge Antilles,Walker Pilot,1
Paploo,Walker Pilot,1
Salacious Crumb,Red Leader,1
EV-9D9,Red Leader,1
Red Leader,Republic Captain,1
Nien Nunb,Red Leader,1
Red Leader,Bail Organa,1
Jabba the Hutt,Red Leader,1
Red Leader,Shuttle Captain,1
Red Leader,Ewoks,1
Red Leader,Logray,1
Red Leader,Bespin Guards,1
Red Leader,Rebel Trooper,1
Red Leader,Wicket,1
Red Leader,Moff Jerjerrod,1
Red Leader,Paploo,1
Salacious Crumb,EV-9D9,1
Salacious Crumb,Biggs Darklighter,1
Salacious Crumb,Republic Captain,1
Salacious Crumb,Nien Nunb,1
Salacious Crumb,C-3P0,1
Salacious Crumb,Bail Organa,1
Salacious Crumb,Jabba the Hutt,1
Salacious Crumb,Shuttle Captain,1
Salacious Crumb,Ewoks,1
Salacious Crumb,Logray,1
Salacious Crumb,Red Three,1
Salacious Crumb,Bespin Guards,1
Salacious Crumb,Han Solo,1
Salacious Crumb,Rebel Trooper,1
Salacious Crumb,Wicket,1
Salacious Crumb,Moff Jerjerrod,1
Salacious Crumb,Wedge Antilles,1
Salacious Crumb,Paploo,1
EV-9D9,Biggs Darklighter,1
EV-9D9,Republic Captain,1
Nien Nunb,EV-9D9,1
EV-9D9,C-3P0,1
EV-9D9,Bail Organa,1
Jabba the Hutt,EV-9D9,1
EV-9D9,Shuttle Captain,1
EV-9D9,Ewoks,1
EV-9D9,Logray,1
EV-9D9,Red Three,1
EV-9D9,Bespin Guards,1
EV-9D9,Han Solo,1
EV-9D9,Rebel Trooper,1
EV-9D9,Wicket,1
EV-9D9,Moff Jerjerrod,1
EV-9D9,Wedge Antilles,1
EV-9D9,Paploo,1
Biggs Darklighter,Republic Captain,1
Nien Nunb,Biggs Darklighter,1
Biggs Darklighter,Bail Organa,1
Jabba the Hutt,Biggs Darklighter,1
Shuttle Captain,Biggs Darklighter,1
Biggs Darklighter,Ewoks,1
Biggs Darklighter,Logray,1
Biggs Darklighter,Bespin Guards,1
Biggs Darklighter,Rebel Trooper,1
Biggs Darklighter,Wicket,1
Biggs Darklighter,Moff Jerjerrod,1
Paploo,Biggs Darklighter,1
Nien Nunb,Republic Captain,1
C-3P0,Republic Captain,1
Republic Captain,Bail Organa,1
Jabba the Hutt,Republic Captain,1
Shuttle Captain,Republic Captain,1
Republic Captain,Ewoks,1
Logray,Republic Captain,1
Republic Captain,Red Three,1
Republic Captain,Han Solo,1
Republic Captain,Wicket,1
Republic Captain,Moff Jerjerrod,1
Wedge Antilles,Republic Captain,1
Paploo,Republic Captain,1
Nien Nunb,C-3P0,1
Nien Nunb,Bail Organa,1
Nien Nunb,Jabba the Hutt,1
Nien Nunb,Shuttle Captain,1
Nien Nunb,Ewoks,1
Nien Nunb,Logray,1
Nien Nunb,Red Three,1
Nien Nunb,Bespin Guards,1
Nien Nunb,Han Solo,1
Nien Nunb,Rebel Trooper,1
Nien Nunb,Wicket,1
Nien Nunb,Moff Jerjerrod,1
Nien Nunb,Wedge Antilles,1
Nien Nunb,Paploo,1
Jabba the Hutt,C-3P0,1
Shuttle Captain,C-3P0,1
C-3P0,Ewoks,1
C-3P0,Logray,1
C-3P0,Red Three,1
C-3P0,Bespin Guards,1
C-3P0,Rebel Trooper,1
C-3P0,Wicket,1
C-3P0,Moff Jerjerrod,1
C-3P0,Paploo,1
Jabba the Hutt,Bail Organa,1
Shuttle Captain,Bail Organa,1
Ewoks,Bail Organa,1
Logray,Bail Organa,1
Red Three,Bail Organa,1
Han Solo,Bail Organa,1
Rebel Trooper,Bail Organa,1
Wicket,Bail Organa,1
Moff Jerjerrod,Bail Organa,1
Wedge Antilles,Bail Organa,1
Paploo,Bail Organa,1
Jabba the Hutt,Shuttle Captain,1
Jabba the Hutt,Ewoks,1
Jabba the Hutt,Logray,1
Jabba the Hutt,Red Three,1
Jabba the Hutt,Bespin Guards,1
Jabba the Hutt,Rebel Trooper,1
Jabba the Hutt,Wicket,1
Jabba the Hutt,Moff Jerjerrod,1
Jabba the Hutt,Wedge Antilles,1
Jabba the Hutt,Paploo,1
Shuttle Captain,Ewoks,1
Shuttle Captain,Logray,1
Shuttle Captain,Red Three,1
Shuttle Captain,Bespin Guards,1
Shuttle Captain,Han Solo,1
Shuttle Captain,Rebel Trooper,1
Shuttle Captain,Wicket,1
Shuttle Captain,Moff Jerjerrod,1
Shuttle Captain,Wedge Antilles,1
Shuttle Captain,Paploo,1
Logray,Ewoks,1
Red Three,Ewoks,1
Bespin Guards,Ewoks,1
Han Solo,Ewoks,1
Rebel Trooper,Ewoks,1
Wicket,Ewoks,1
Ewoks,Moff Jerjerrod,1
Wedge Antilles,Ewoks,1
Paploo,Ewoks,1
Logray,Red Three,1
Logray,Bespin Guards,1
Logray,Han Solo,1
Logray,Rebel Trooper,1
Logray,Wicket,1
Logray,Moff Jerjerrod,1
Logray,Wedge Antilles,1
Paploo,Logray,1
Red Three,Bespin Guards,1
Han Solo,Red Three,1
Red Three,Rebel Trooper,1
Red Three,Wicket,1
Red Three,Moff Jerjerrod,1
Paploo,Red Three,1
Han Solo,Bespin Guards,1
Rebel Trooper,Bespin Guards,1
Wicket,Bespin Guards,1
Bespin Guards,Moff Jerjerrod,1
Wedge Antilles,Bespin Guards,1
Paploo,Bespin Guards,1
Han Solo,Rebel Trooper,1
Han Solo,Wicket,1
Han Solo,Moff Jerjerrod,1
Paploo,Han Solo,1
Rebel Trooper,Wicket,1
Rebel Trooper,Moff Jerjerrod,1
Wedge Antilles,Rebel Trooper,1
Paploo,Rebel Trooper,1
Wicket,Moff Jerjerrod,1
Wedge Antilles,Wicket,1
Paploo,Wicket,1
Wedge Antilles,Moff Jerjerrod,1
Paploo,Moff Jerjerrod,1
Paploo,Wedge Antilles,1
